,Tenth_Tee_Early_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Early_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Early_Lowest_Round_PLAYER NAME,Tenth_Tee_Early_Lowest_Round_ROUNDS,Tenth_Tee_Early_Lowest_Round_LOW RND
0,T1,T1,Jim Furyk,95,62
1,T1,T1,Zach Johnson,85,62
2,T3,T3,Steve Allan,58,63
3,T3,T3,Jason Dufner,49,63
4,T3,T3,Nick Flanagan,89,63
5,T3,T3,Bob Heintz,48,63
6,T3,T3,John Huston,56,63
7,T3,T3,Peter Lonard,92,63
8,T3,T3,Hunter Mahan,87,63
9,T3,T3,Adam Scott,51,63
10,T3,T3,Michael Sim,27,63
11,T3,T3,Kevin Streelman,114,63
12,T3,T3,D.J. Trahan,94,63
13,T14,T14,Michael Allen,91,64
14,T14,T14,Robert Allenby,108,64
15,T14,T14,Aaron Baddeley,76,64
16,T14,T14,Brian Davis,108,64
17,T14,T14,Ken Duke,116,64
18,T14,T14,Steve Elkington,84,64
19,T14,T14,Philip Francis,4,64
20,T14,T14,Fred Funk,42,64
21,T14,T14,Todd Hamilton,92,64
22,T14,T14,Trevor Immelman,70,64
23,T14,T14,Matt Kuchar,88,64
24,T14,T14,Doug LaBelle II,65,64
25,T14,T14,Will MacKenzie,62,64
26,T14,T14,Scott McCarron,63,64
27,T14,T14,John Merrick,98,64
28,T14,T14,Jon Mills,95,64
29,T14,T14,Ryan Moore,72,64
30,T14,T14,Kevin Na,97,64
31,T14,T14,Joe Ogilvie,100,64
32,T14,T14,Geoff Ogilvy,65,64
33,T14,T14,Deane Pappas,8,64
34,T14,T14,Brenden Pappas,66,64
35,T14,T14,Corey Pavin,69,64
36,T14,T14,John Rollins,94,64
37,T14,T14,Patrick Sheehan,124,64
38,T14,T14,Vijay Singh,82,64
39,T14,T14,Paul Stankowski,38,64
40,T14,T14,Scott Sterling,89,64
41,T14,T14,Steve Stricker,75,64
42,T14,T14,Bob Tway,70,64
43,T14,T14,Scott Verplank,82,64
44,T14,T14,Y.E. Yang,89,64
45,T46,T46,Eric Axley,113,65
46,T46,T46,Briny Baird,113,65
47,T46,T46,Rich Beem,90,65
48,T46,T46,Chad Campbell,94,65
49,T46,T46,Alejandro Cañizares,52,65
50,T46,T46,Alex Cejka,75,65
51,T46,T46,K.J. Choi,74,65
52,T46,T46,Daniel Chopra,84,65
53,T46,T46,Chad Collins,72,65
54,T46,T46,Fred Couples,60,65
55,T46,T46,Ben Crane,86,65
56,T46,T46,Ben Curtis,80,65
57,T46,T46,Robert Damron,22,65
58,T46,T46,Todd Demsey,80,65
59,T46,T46,Joe Durant,92,65
60,T46,T46,Bob Estes,90,65
61,T46,T46,Robert Garrigus,90,65
62,T46,T46,Lucas Glover,91,65
63,T46,T46,Jason Gore,94,65
64,T46,T46,Charley Hoffman,94,65
65,T46,T46,Craig Kanada,65,65
66,T46,T46,Anthony Kim,81,65
67,T46,T46,Frank Lickliter II,107,65
68,T46,T46,David Lutterus,59,65
69,T46,T46,John Mallinger,95,65
70,T46,T46,Troy Matteson,94,65
71,T46,T46,Jim McGovern,75,65
72,T46,T46,Larry Mize,46,65
73,T46,T46,Nick O'Hern,82,65
74,T46,T46,Ryan Palmer,69,65
75,T46,T46,Rod Pampling,83,65
76,T46,T46,Jesper Parnevik,88,65
77,T46,T46,Pat Perez,93,65
78,T46,T46,Tom Pernice Jr.,104,65
79,T46,T46,Kenny Perry,97,65
80,T46,T46,Tim Petrovic,97,65
81,T46,T46,Carl Pettersson,110,65
82,T46,T46,Brett Rumford,72,65
83,T46,T46,Heath Slocum,104,65
84,T46,T46,Nicholas Thompson,113,65
85,T46,T46,Jimmy Walker,73,65
86,T46,T46,Bubba Watson,97,65
87,T46,T46,Boo Weekley,86,65
88,T46,T46,Mike Weir,88,65
89,T46,T46,Lee Westwood,32,65
90,T46,T46,Tim Wilkinson,95,65
91,T46,T46,Garrett Willis,34,65
92,T46,T46,Mark Wilson,107,65
93,T94,T94,Brad Adamonis,87,66
94,T94,T94,Jason Allred,63,66
95,T94,T94,Stephen Ames,83,66
96,T94,T94,Stuart Appleby,87,66
97,T94,T94,Tommy Armour III,77,66
98,T94,T94,Woody Austin,109,66
99,T94,T94,Shane Bertsch,96,66
100,T94,T94,Jason Bohn,45,66
101,T94,T94,Michael Bradley,40,66
102,T94,T94,Bart Bryant,81,66
103,T94,T94,Tom Byrum,36,66
104,T94,T94,Ángel Cabrera,55,66
105,T94,T94,Stewart Cink,87,66
106,T94,T94,Tim Clark,90,66
107,T94,T94,Marco Dawson,64,66
108,T94,T94,Glen Day,64,66
109,T94,T94,Jason Day,81,66
110,T94,T94,Ernie Els,51,66
111,T94,T94,Josh Esler,2,66
112,T94,T94,Niclas Fasth,32,66
113,T94,T94,Kenneth Ferrie,72,66
114,T94,T94,Tommy Gainey,60,66
115,T94,T94,Robert Gamez,79,66
116,T94,T94,Sergio Garcia,72,66
117,T94,T94,Brian Gay,102,66
118,T94,T94,Bill Haas,99,66
119,T94,T94,J.J. Henry,108,66
120,T94,T94,Mark Hensby,71,66
121,T94,T94,Lee Janzen,89,66
122,T94,T94,Miguel Angel Jiménez,25,66
123,T94,T94,Richard Johnson,60,66
124,T94,T94,Kent Jones,68,66
125,T94,T94,Matt Jones,95,66
126,T94,T94,Jerry Kelly,89,66
127,T94,T94,Justin Leonard,101,66
128,T94,T94,Michael Letzig,88,66
129,T94,T94,WC Liang,20,66
130,T94,T94,Davis Love III,78,66
131,T94,T94,Steve Lowery,74,66
132,T94,T94,Jeff Maggert,86,66
133,T94,T94,Steve Marino,119,66
134,T94,T94,Shigeki Maruyama,50,66
135,T94,T94,Billy Mayfair,103,66
136,T94,T94,Parker McLachlin,88,66
137,T94,T94,Rocco Mediate,87,66
138,T94,T94,Phil Mickelson,80,66
139,T94,T94,Sean O'Hair,81,66
140,T94,T94,Ted Purdy,68,66
141,T94,T94,Jeff Quinney,87,66
142,T94,T94,Tag Ridings,88,66
143,T94,T94,John Riegger,73,66
144,T94,T94,Rory Sabbatini,77,66
145,T94,T94,John Senden,93,66
146,T94,T94,Bob Sowards,61,66
147,T94,T94,Kevin Stadler,90,66
148,T94,T94,Mitsuhiro Tateyama,4,66
149,T94,T94,David Toms,70,66
150,T94,T94,Omar Uresti,74,66
151,T94,T94,Bo Van Pelt,101,66
152,T94,T94,Camilo Villegas,79,66
153,T94,T94,Nick Watney,96,66
154,T94,T94,Dean Wilson,109,66
155,T94,T94,Tiger Woods,26,66
156,T157,T157,Ryan Armour,87,67
157,T157,T157,Cameron Beckman,87,67
158,T157,T157,Notah Begay III,24,67
159,T157,T157,Olin Browne,77,67
160,T157,T157,Jonathan Byrd,88,67
161,T157,T157,Paul Casey,55,67
162,T157,T157,Kris Cox,17,67
163,T157,T157,James Driscoll,85,67
164,T157,T157,Steve Flesch,95,67
165,T157,T157,Carlos Franco,73,67
166,T157,T157,Harrison Frazar,73,67
167,T157,T157,Cody Freeman,66,67
168,T157,T157,"Jim Gallagher, Jr.",17,67
169,T157,T157,Mathew Goggin,91,67
170,T157,T157,Nathan Green,95,67
171,T157,T157,Mathias Grönberg,87,67
172,T157,T157,Padraig Harrington,52,67
173,T157,T157,Dudley Hart,74,67
174,T157,T157,J.P. Hayes,67,67
175,T157,T157,Tim Herron,97,67
176,T157,T157,Charles Howell III,101,67
177,T157,T157,Ryuji Imada,80,67
178,T157,T157,Freddie Jacobson,78,67
179,T157,T157,Cliff Kresge,84,67
180,T157,T157,Martin Laird,98,67
181,T157,T157,Spencer Levin,4,67
182,T157,T157,Shaun Micheel,45,67
183,T157,T157,Jeff Overton,103,67
184,T157,T157,Jin Park,85,67
185,T157,T157,Chez Reavie,102,67
186,T157,T157,Chris Riley,51,67
187,T157,T157,Justin Rose,46,67
188,T157,T157,Tom Scherrer,56,67
189,T157,T157,Webb Simpson,18,67
190,T157,T157,Brandt Snedeker,85,67
191,T157,T157,Kevin Sutherland,98,67
192,T157,T157,Vaughn Taylor,103,67
193,T157,T157,Kyle Thompson,70,67
194,T157,T157,Jon Turcott,6,67
195,T157,T157,Marc Turnesa,87,67
196,T157,T157,Charles Warren,79,67
197,T157,T157,Ron Whittaker,54,67
198,T157,T157,Charlie Wi,97,67
199,T157,T157,Jay Williamson,96,67
200,T201,T201,Billy Andrade,71,68
201,T201,T201,Justin Bolli,87,68
202,T201,T201,Mark Brooks,48,68
203,T201,T201,Mark Calcavecchia,67,68
204,T201,T201,José Coceres,37,68
205,T201,T201,Gavin Coles,54,68
206,T201,T201,Jay Delsing,19,68
207,T201,T201,Luke Donald,35,68
208,T201,T201,David Duval,51,68
209,T201,T201,Brad Elder,67,68
210,T201,T201,Dan Forsman,36,68
211,T201,T201,Retief Goosen,59,68
212,T201,T201,Jeff Gove,50,68
213,T201,T201,Paul Goydos,78,68
214,T201,T201,Justin Hicks,4,68
215,T201,T201,J.B. Holmes,86,68
216,T201,T201,Brandt Jobe,52,68
217,T201,T201,Dustin Johnson,92,68
218,T201,T201,Martin Kaymer,23,68
219,T201,T201,Stephen Leaney,53,68
220,T201,T201,Ian Leggatt,17,68
221,T201,T201,Bob May,15,68
222,T201,T201,George McNeill,97,68
223,T201,T201,Greg Owen,3,68
224,T201,T201,Ian Poulter,51,68
225,T201,T201,Dicky Pride,39,68
226,T201,T201,Brett Quigley,80,68
227,T201,T201,Chris Smith,13,68
228,T201,T201,Chris Stroud,81,68
229,T201,T201,Toru Taniguchi,17,68
230,T201,T201,Roland Thatcher,41,68
231,T201,T201,Kirk Triplett,25,68
232,T201,T201,Johnson Wagner,83,68
233,T201,T201,Brett Wetterich,36,68
234,T235,T235,Craig Barlow,43,69
235,T235,T235,Guy Boros,17,69
236,T235,T235,Mark Brown,12,69
237,T235,T235,Andrew Buckle,46,69
238,T235,T235,Bob Burns,17,69
239,T235,T235,Paul Claxton,63,69
240,T235,T235,Chris DiMarco,87,69
241,T235,T235,Trevor Dodds,4,69
242,T235,T235,John Douma,4,69
243,T235,T235,Tom Gillis,10,69
244,T235,T235,Richard Johnson,77,69
245,T235,T235,Søren Kjeldsen,8,69
246,T235,T235,Greg Kraft,63,69
247,T235,T235,Neal Lancaster,28,69
248,T235,T235,J.L. Lewis,40,69
249,T235,T235,Daisuke Maruyama,12,69
250,T235,T235,Len Mattiace,31,69
251,T235,T235,Kelly Mitchum,2,69
252,T235,T235,Ted Schulz,4,69
253,T235,T235,Mike Standly,2,69
254,T235,T235,Drew Weaver,8,69
255,T235,T235,Oliver Wilson,12,69
256,T235,T235,Dan Woltman,2,69
257,T258,T258,Brian Bateman,48,70
258,T258,T258,Darren Clarke,6,70
259,T258,T258,Erik Compton,4,70
260,T258,T258,Nick Dougherty,24,70
261,T258,T258,Brent Geiberger,26,70
262,T258,T258,Richard Green,29,70
263,T258,T258,Rob Grube,4,70
264,T258,T258,Robert Karlsson,29,70
265,T258,T258,Jonathan Kaye,22,70
266,T258,T258,Patton Kizzire,2,70
267,T258,T258,Colt Knost,13,70
268,T258,T258,Tom Lehman,51,70
269,T258,T258,Andrew Magee,9,70
270,T258,T258,Prayad Marksaeng,11,70
271,T258,T258,Chapchai Nirat,4,70
272,T258,T258,Greg Norman,11,70
273,T258,T258,Arron Oberholser,33,70
274,T258,T258,José María Olazábal,12,70
275,T258,T258,Louis Oosthuizen,10,70
276,T258,T258,Craig Parry,14,70
277,T258,T258,David Peoples,4,70
278,T258,T258,Rod Perry,4,70
279,T258,T258,Nick Price,4,70
280,T258,T258,Alvaro Quiros,8,70
281,T258,T258,Rob Rashell,2,70
282,T258,T258,Curt Sanders,6,70
283,T258,T258,Joey Sindelar,15,70
284,T258,T258,Jeev Milkha Singh,18,70
285,T258,T258,Henrik Stenson,36,70
286,T258,T258,Richard Sterne,25,70
287,T258,T258,Nick Taylor,6,70
288,T258,T258,Esteban Toledo,12,70
289,T258,T258,Diego Vanegas,4,70
290,T258,T258,Grant Waite,17,70
291,T258,T258,Duffy Waldorf,11,70
292,T293,T293,Mitch Adcock,2,71
293,T293,T293,Paul Azinger,21,71
294,T293,T293,Ronnie Black,6,71
295,T293,T293,Kevin Chappell,4,71
296,T293,T293,Reid Edstrom,4,71
297,T293,T293,Frank Esposito,2,71
298,T293,T293,Brad Faxon,6,71
299,T293,T293,Rick Fehr,4,71
300,T293,T293,Benjamin Fox,2,71
301,T293,T293,David Frost,9,71
302,T293,T293,Anton Haig,8,71
303,T293,T293,Anders Hansen,17,71
304,T293,T293,Soren Hansen,27,71
305,T293,T293,Peter Hanson,13,71
306,T293,T293,Kevin Hayashi,2,71
307,T293,T293,Shingo Katayama,11,71
308,T293,T293,Eric Landreville,2,71
309,T293,T293,Jamie Lovemark,14,71
310,T293,T293,Pablo Martin Benavides,10,71
311,T293,T293,Graeme McDowell,16,71
312,T293,T293,Spike McRoy,13,71
313,T293,T293,Colin Montgomerie,21,71
314,T293,T293,John Morse,21,71
315,T293,T293,Savio Nazareth,2,71
316,T293,T293,David Ogrin,2,71
317,T293,T293,Travis Perkins,53,71
318,T293,T293,Scott Piercy,6,71
319,T293,T293,Andres Romero,69,71
320,T293,T293,Mike Ruiz,4,71
321,T293,T293,Jeff Sluman,6,71
322,T293,T293,Steve Sokol,2,71
323,T293,T293,Andrew Svoboda,4,71
324,T293,T293,Phil Tataurangi,13,71
325,T293,T293,Kaname Yokoo,2,71
326,T327,T327,George Bradford,2,72
327,T327,T327,Ryan Brehm,2,72
328,T327,T327,SSP Chawrasia,4,72
329,T327,T327,John Daly,43,72
330,T327,T327,Gonzalo Fernandez-Castaño,1,72
331,T327,T327,Skip Kendall,15,72
332,T327,T327,Kenny Knox,2,72
333,T327,T327,Bernhard Langer,6,72
334,T327,T327,Alan Morin,6,72
335,T327,T327,Mark O'Meara,14,72
336,T327,T327,Andrew Parr,4,72
337,T327,T327,Steve Pate,7,72
338,T327,T327,Paul Sheehan,4,72
339,T327,T327,Chip Sullivan,18,72
340,T327,T327,Willie Wood,11,72
341,T342,T342,Lonny Alexander,4,73
342,T342,T342,Henrik Bjornstad,2,73
343,T342,T342,Brandel Chamblee,3,73
344,T342,T342,Bubba Dickerson,4,73
345,T342,T342,John Ellis,4,73
346,T342,T342,Derek Fathauer,4,73
347,T342,T342,Ross Fisher,19,73
348,T342,T342,Stephen Gangluff,2,73
349,T342,T342,James Kingston,16,73
350,T342,T342,Michael Knight,2,73
351,T342,T342,J.T. Kohut,6,73
352,T342,T342,Joel Kribel,3,73
353,T342,T342,Sean McCarty,2,73
354,T342,T342,D.A. Points,12,73
355,T342,T342,Bruce Smith,2,73
356,T342,T342,Michael Thompson,14,73
357,T358,T358,Alex Aragon,4,74
358,T358,T358,Sam Arnold,2,74
359,T358,T358,Michael Campbell,16,74
360,T358,T358,Jeff Cuzzort,2,74
361,T358,T358,Scott Gump,4,74
362,T358,T358,P.H. Horgan III,2,74
363,T358,T358,Jeff Hull,2,74
364,T358,T358,Rick Leibovich,7,74
365,T358,T358,Thomas Levet,2,74
366,T358,T358,Luke List,4,74
367,T358,T358,Santiago Luna,2,74
368,T358,T358,Jarrod Lyle,4,74
369,T358,T358,Garrett Osborn,2,74
370,T358,T358,Tim Weinhart,2,74
371,T358,T358,Mike Wilson,3,74
372,T373,T373,Max Alveiro,2,75
373,T373,T373,D.J. Brigman,2,75
374,T373,T373,Santiago Cavanagh,4,75
375,T373,T373,Chip Deason,4,75
376,T373,T373,Scott Dunlap,2,75
377,T373,T373,Tadd Fujikawa,7,75
378,T373,T373,Philippe Gasnier,2,75
379,T373,T373,Brian Kontak,2,75
380,T373,T373,D.H. Lee,2,75
381,T373,T373,Danny Lee,6,75
382,T373,T373,Michael Putnam,2,75
383,T373,T373,Jyoti Randhawa,2,75
384,T373,T373,Jim Renner,2,75
385,T373,T373,Charl Schwartzel,4,75
386,T373,T373,Paul Wise,2,75
387,T373,T373,Casey Wittenberg,12,75
388,T373,T373,Don Yrene,2,75
389,T390,T390,Keith Clearwater,5,76
390,T390,T390,Rickie Fowler,6,76
391,T390,T390,Brad Fritsch,2,76
392,T390,T390,Bob Gaus,2,76
393,T390,T390,Brad Hauer,2,76
394,T390,T390,Scott Hebert,4,76
395,T390,T390,Vince Jewell,4,76
396,T390,T390,Brendan Jones,15,76
397,T390,T390,Joey Lamielle,2,76
398,T390,T390,Hennie Otto,4,76
399,T390,T390,Kevin Silva,2,76
400,T390,T390,Robin Smith,2,76
401,T390,T390,Peter Tomasulo,5,76
402,T403,T403,Danny Briggs,2,77
403,T403,T403,Brad Bryant,2,77
404,T403,T403,Michael Clark II,2,77
405,T403,T403,Russ Cochran,2,77
406,T403,T403,Ryan Dillon,3,77
407,T403,T403,Robin Freeman,4,77
408,T403,T403,Hiroyuki Fujita,4,77
409,T403,T403,Gabriel Hjertstedt,10,77
410,T403,T403,Daniel Im,2,77
411,T403,T403,Tom Kite,2,77
412,T403,T403,Wilfredo Morales,3,77
413,T403,T403,David Oh,2,77
414,T403,T403,Miguel Rodriguez,2,77
415,T403,T403,Jake Roos,4,77
416,T403,T403,Dave Rummells,4,77
417,T403,T403,Steve Wilson,2,77
418,T419,T419,Ryan Benzel,2,78
419,T419,T419,Bobby Collins,2,78
420,T419,T419,Doug Dvorak,2,78
421,T419,T419,Fernando Figueroa,2,78
422,T419,T419,Todd Halpen,2,78
423,T419,T419,Mike Heinen,15,78
424,T419,T419,Chad Proehl,2,78
425,T419,T419,Sonny Skinner,2,78
426,T427,T427,Charlie Beljan,2,79
427,T427,T427,Johan Edfors,4,79
428,T427,T427,Kenny Kim,2,79
429,T427,T427,Jacob Scriven,2,79
430,T431,T431,Peter Campbell,2,80
431,T431,T431,Jay Choi,2,80
432,T431,T431,Pablo Larrazabal,10,80
433,T431,T431,Dustin Risdon,3,80
434,T431,T431,Michelle Wie,2,80
435,T436,T436,Philip Archer,6,81
436,T436,T436,Kelvin Burgin,2,81
437,T438,T438,Garrett Chaussard,2,82
438,T438,T438,Derek Lamely,4,82
439,T438,T438,David Long,2,82
440,441,441,Yohann Benson,2,83
441,T442,T442,Chris Devlin,2,84
442,T442,T442,Patrick Olive,2,84
443,T444,T444,Blaine McCallister,4,85
444,T444,T444,Jeff Reader,2,85
445,T446,T446,Brian Bergstol,2,86
446,T446,T446,Michael Quagliano,2,86
